168.000;0.269;53.790;0.269
169.000;0.270;53.680;0.270
170.000;0.267;54.064;0.267
171.000;0.270;53.760;0.270
172.000;0.269;53.782;0.269
173.000;0.269;53.883;0.269
174.000;0.267;54.026;0.267
175.000;0.267;54.094;0.267
176.000;0.267;54.078;0.267
177.000;0.269;53.886;0.269
178.000;0.269;53.790;0.269
179.000;0.268;53.993;0.268
180.000;0.266;54.149;0.266
181.000;0.265;54.319;0.265
182.000;0.267;54.064;0.267
183.000;0.266;54.174;0.266
184.000;0.266;54.207;0.266
185.000;0.267;54.111;0.267
186.000;0.266;54.251;0.266
187.000;0.265;54.308;0.265
188.000;0.266;54.223;0.266
189.000;0.265;54.377;0.265
190.000;0.264;54.429;0.264
191.000;0.265;54.372;0.265
192.000;0.262;54.714;0.262
193.000;0.263;54.586;0.263
194.000;0.264;54.405;0.264
195.000;0.264;54.509;0.264
196.000;0.264;54.476;0.264
197.000;0.261;54.876;0.261
198.000;0.261;54.838;0.261
199.000;0.263;54.602;0.263
200.000;0.260;54.895;0.260
201.000;0.260;54.972;0.260
202.000;0.260;54.931;0.260
203.000;0.261;54.849;0.261
204.000;0.262;54.643;0.262
205.000;0.261;54.819;0.261
206.000;0.261;54.832;0.261
207.000;0.260;54.969;0.260
208.000;0.261;54.797;0.261
209.000;0.260;54.906;0.260
210.000;0.260;54.934;0.260
211.000;0.259;55.104;0.259
212.000;0.259;55.126;0.259
213.000;0.259;55.041;0.259
214.000;0.257;55.389;0.257
215.000;0.259;55.132;0.259
216.000;0.257;55.387;0.257
217.000;0.257;55.359;0.257
218.000;0.258;55.244;0.258
219.000;0.256;55.400;0.256
220.000;0.257;55.310;0.257
221.000;0.258;55.175;0.258
222.000;0.257;55.337;0.257
223.000;0.256;55.439;0.256
224.000;0.256;55.450;0.256
225.000;0.257;55.389;0.257
226.000;0.255;55.609;0.255
227.000;0.255;55.584;0.255
228.000;0.256;55.480;0.256
229.000;0.254;55.738;0.254
230.000;0.256;55.436;0.256
231.000;0.255;55.614;0.255
232.000;0.253;55.828;0.253
233.000;0.255;55.576;0.255
234.000;0.254;55.661;0.254
235.000;0.254;55.768;0.254
236.000;0.253;55.842;0.253
237.000;0.253;55.809;0.253
238.000;0.251;56.064;0.251
239.000;0.252;56.007;0.252
240.000;0.253;55.902;0.253
241.000;0.252;56.020;0.252
242.000;0.253;55.878;0.253
243.000;0.253;55.897;0.253
244.000;0.252;55.921;0.252
245.000;0.252;55.995;0.252
246.000;0.252;56.004;0.252
247.000;0.253;55.798;0.253
248.000;0.252;55.976;0.252
249.000;0.250;56.207;0.250
250.000;0.248;56.555;0.248
251.000;0.249;56.377;0.249
252.000;0.250;56.262;0.250
253.000;0.248;56.470;0.248
254.000;0.248;56.519;0.248
255.000;0.246;56.753;0.246
256.000;0.249;56.415;0.249
257.000;0.248;56.519;0.248
258.000;0.247;56.585;0.247
259.000;0.248;56.558;0.248
260.000;0.247;56.577;0.247
261.000;0.247;56.566;0.247
262.000;0.246;56.720;0.246
263.000;0.245;56.890;0.245
264.000;0.245;56.857;0.245
265.000;0.244;56.997;0.244
266.000;0.245;56.843;0.245
267.000;0.247;56.684;0.247
268.000;0.247;56.657;0.247
269.000;0.245;56.868;0.245
270.000;0.245;56.846;0.245
271.000;0.244;57.003;0.244
272.000;0.245;56.928;0.245
273.000;0.244;57.052;0.244
274.000;0.243;57.104;0.243
275.000;0.245;56.854;0.245
276.000;0.246;56.805;0.246
277.000;0.242;57.235;0.242
278.000;0.244;57.033;0.244
279.000;0.244;56.969;0.244
280.000;0.242;57.255;0.242
281.000;0.242;57.326;0.242
282.000;0.242;57.337;0.242
283.000;0.240;57.521;0.240
284.000;0.240;57.502;0.240
