Wavelength (nm);Absorbance CV;Transmittance CV;;/Users/may-linnskuland/Desktop/spektrometri.sp;;;CV;
437.657;0.030;93.263
437.934;0.031;93.125
438.211;0.031;93.021
438.488;0.032;92.944
438.765;0.032;92.917
439.042;0.031;93.124
439.319;0.031;93.069
439.596;0.032;92.803
439.873;0.033;92.703
440.150;0.032;92.858
440.427;0.032;92.992
440.703;0.032;92.967
440.980;0.032;92.945
441.257;0.032;92.888
441.533;0.032;92.973
441.810;0.031;93.167
442.086;0.031;93.104
442.363;0.031;93.019
442.639;0.032;92.960
442.916;0.032;92.868
443.192;0.034;92.572
443.469;0.033;92.666
443.745;0.032;92.891
444.021;0.031;93.085
444.297;0.031;93.106
444.574;0.033;92.733
444.850;0.033;92.682
445.126;0.033;92.714
445.402;0.032;92.825
445.678;0.033;92.639
445.954;0.033;92.655
446.230;0.033;92.768
446.505;0.033;92.686
446.781;0.034;92.493
447.057;0.034;92.542
447.333;0.034;92.461
447.608;0.034;92.428
447.884;0.034;92.464
448.159;0.036;92.071
448.435;0.037;91.749
448.710;0.037;91.772
448.986;0.037;91.802
449.261;0.036;92.027
449.536;0.035;92.164
449.812;0.036;92.086
450.087;0.035;92.328
450.362;0.035;92.159
450.637;0.037;91.851
450.912;0.038;91.568
451.187;0.039;91.314
451.462;0.040;91.149
451.737;0.040;91.193
452.012;0.041;91.073
452.286;0.041;91.093
452.561;0.039;91.412
452.836;0.038;91.519
453.110;0.039;91.450
453.385;0.039;91.372
453.659;0.040;91.259
453.934;0.040;91.153
454.208;0.040;91.164
454.483;0.039;91.347
454.757;0.038;91.724
455.031;0.038;91.651
455.305;0.038;91.556
455.579;0.038;91.582
455.853;0.039;91.456
456.127;0.040;91.222
456.401;0.040;91.275
456.675;0.041;90.911
456.949;0.042;90.882
457.223;0.041;90.987
457.497;0.042;90.802
457.770;0.042;90.734
458.044;0.043;90.503
458.317;0.043;90.632
458.591;0.042;90.738
458.864;0.041;90.903
459.138;0.042;90.831
459.411;0.043;90.602
459.684;0.043;90.627
459.958;0.043;90.587
460.231;0.044;90.464
460.504;0.045;90.072
460.777;0.045;90.155
461.050;0.046;90.006
461.323;0.046;89.883
461.596;0.046;90.033
461.869;0.046;89.954
462.142;0.046;89.914
462.414;0.046;89.891
462.687;0.045;90.113
462.960;0.044;90.390
463.232;0.043;90.565
463.505;0.043;90.522
463.777;0.044;90.413
464.050;0.045;90.215
464.322;0.044;90.382
464.594;0.045;90.181
464.866;0.045;90.056
465.139;0.046;89.954
465.411;0.046;89.959
465.683;0.047;89.832
465.955;0.047;89.662
466.227;0.048;89.496
466.499;0.049;89.433
466.771;0.049;89.429
467.043;0.050;89.193
467.314;0.050;89.024
467.586;0.050;89.209
467.858;0.049;89.254
468.130;0.050;89.212
468.401;0.051;89.015
468.673;0.051;88.955
468.944;0.053;88.585
469.216;0.053;88.424
469.487;0.054;88.228
469.758;0.054;88.371
470.030;0.054;88.401
